id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
5HydZtPFOvbmqXiTcTFykW,0.672,0.628,3,-7.744,1,0.0516,0.0302,7.14e-05,0.076,0.651,144.045,175030,4
3imd2WJDPDoIOyqDmw3plc,0.78,0.672,8,-4.398,1,0.0328,0.143,7.27e-05,0.125,0.541,97.054,162360,4
4jYt1pQqg2mIZmY4FWCZEM,0.665,0.684,11,-7.049,0,0.106,0.247,0.0,0.0636,0.927,73.986,149538,4
4MDDOpA7BwGDjYclTmCTVw,0.651,0.949,0,-3.385,1,0.0508,0.00407,0.00695,0.1,0.7,120.02,263659,4
5qJOKIrlNVOe4QdhJHS2di,0.723,0.801,0,-3.413,1,0.0623,0.369,1.47e-05,0.194,0.738,109.0,176280,4
3s4WVKaSU112SfRBjvyXKp,0.814,0.715,6,-6.674,0,0.166,0.681,5.22e-06,0.684,0.707,135.037,107111,4
1utCtRS9AKwl9Kj2jVD1Cr,0.538,0.676,10,-4.73,0,0.0735,0.0855,0.0,0.202,0.378,126.035,174400,4
3Jq0vjC96tJlUVAdKfMajk,0.868,0.74,4,-4.181,1,0.0449,0.13,0.13,0.0951,0.979,112.022,150693,4
35iR1qzexmbcUSgA01S4gI,0.79,0.744,9,-7.033,0,0.0294,0.287,0.000934,0.0909,0.798,123.984,174348,4
1WzOonguDKuWQrTTf5yR0D,0.273,0.517,9,-5.853,1,0.0313,0.0801,0.0,0.0984,0.16,168.213,208969,4
2wdVmZbRoJNNpY1vS0N8Lm,0.689,0.863,9,-5.962,1,0.0348,0.0373,1.55e-05,0.0958,0.576,105.044,256320,4
70OvaCDu8Xc4jNQgXmiw7s,0.649,0.775,11,-4.0,0,0.0339,0.0366,1.65e-06,0.0638,0.911,135.025,185080,4
7HDcd1vyDdNWq897wSILCZ,0.77,0.743,6,-3.251,1,0.0299,0.0205,0.0003,0.144,0.843,123.014,253723,4
0kr277qNoo4QBUDjzPiSe2,0.589,0.814,9,-5.06,0,0.0446,0.00129,3.09e-06,0.0977,0.874,146.049,161068,4
6G7wNC2sMiX8YcAmOaCwqN,0.652,0.682,8,-5.734,1,0.0364,0.014,4.17e-06,0.0514,0.527,115.957,170882,4
5uJaYw9o3w7VXMCNlXnT7K,0.582,0.774,11,-3.646,0,0.262,0.054,2.59e-06,0.0842,0.553,89.923,205840,4
1BiRaCcUqWpLLb4LZpvRMF,0.514,0.875,9,-5.472,0,0.075,0.000247,1.14e-05,0.505,0.591,152.005,169213,4
3Gplr4iOpewQ9ynbZujzlu,0.707,0.735,1,-5.237,1,0.0362,0.00896,4.78e-05,0.0433,0.762,129.965,158240,4
22uD6yBefgzRTLrohe4IZs,0.544,0.716,9,-6.182,1,0.0458,0.214,1.62e-06,0.114,0.784,183.977,210609,4
4ydCaKmqhbTPCMl7tb8TnR,0.729,0.606,7,-6.981,1,0.0389,0.146,8.69e-05,0.0804,0.764,150.027,203840,4
5lAflCrqbAfo0nMflKGb0N,0.628,0.589,1,-8.292,1,0.0244,0.787,7.6e-06,0.101,0.341,98.004,210612,4
1xUzY52IQQ5psQnhesko3U,0.603,0.744,7,-6.377,1,0.0454,0.0102,0.0,0.0425,0.487,145.022,163984,4
3yJ6oOCpjC1KbGO4uqebRu,0.553,0.707,7,-7.346,1,0.0446,0.255,0.0104,0.303,0.402,142.064,169014,4
6VTzauIrG2hjKtKFYFJfMT,0.555,0.932,2,-3.422,1,0.0632,0.00808,0.0,0.066,0.687,90.002,159618,4
0t9X8kIUL4QqoWq6HM5o2G,0.55,0.699,1,-3.635,1,0.17,0.435,0.0,0.197,0.697,169.955,200080,4
4ecbBr4l07EN9I6lUwQTcv,0.557,0.725,11,-6.199,0,0.0296,0.00705,0.0,0.191,0.73,139.943,189955,4
2L3id4Vcv8mGUPd0egVNoB,0.602,0.753,8,-5.941,1,0.0677,0.0223,1.01e-05,0.0833,0.598,135.941,173701,4
6Au9UDzjeGFen7qMEDKju7,0.624,0.908,10,-3.215,1,0.0992,0.408,0.0,0.139,0.659,105.048,187364,4
7AEWEYnWHPqXTExnIfxzsT,0.734,0.67,11,-5.691,1,0.0248,0.167,7.32e-06,0.136,0.578,110.985,192695,4
43qXpGfZOjHQakpPKfNz3u,0.478,0.545,7,-5.503,1,0.0385,0.0847,7.75e-06,0.113,0.252,78.092,156923,4
3CMaKJ2l7dfeLCPOSsq1dt,0.547,0.858,1,-6.212,1,0.0447,0.000604,0.000252,0.349,0.74,161.965,176715,4
3FypeFOz4MXOMaC20j1mBg,0.807,0.585,4,-6.618,0,0.0372,0.108,0.000353,0.0964,0.773,106.035,189940,4
4mzRgafmXg0S1FBwGdwFXC,0.451,0.843,1,-5.124,0,0.148,0.00876,9.22e-06,0.127,0.697,176.012,198034,4
6kqMaKmXXfT5qh8GRfBL7b,0.604,0.662,8,-6.475,1,0.0259,0.00236,9.45e-06,0.074,0.672,145.965,195616,4
21kvruyJddCLQguDk9oklX,0.624,0.718,1,-5.946,1,0.0312,0.0436,0.00311,0.119,0.663,153.915,197200,4
3Ola5gPTe1NK9GgnVgLoVX,0.55,0.557,11,-6.134,0,0.0356,0.475,0.0,0.116,0.111,105.979,215573,4
3wpzqcD1dzR6lsno8zKRpK,0.547,0.806,0,-5.326,1,0.0274,0.000187,0.00272,0.0788,0.416,129.971,203963,4
6j9cbCHQgQeQMlSngzaggO,0.497,0.677,2,-7.567,1,0.0371,0.0249,0.0245,0.105,0.347,190.12,168589,4
3mOf4VKJR7S8fHXlMakRK1,0.536,0.887,1,-6.719,0,0.0719,0.0639,0.0,0.129,0.439,99.912,190000,4
1xeUlQsm3i9aAry71kXbhY,0.565,0.921,9,-5.659,1,0.0403,0.214,0.000193,0.234,0.901,99.98,154467,4
7pXCcvUJSPQ0lFj4BhETmW,0.853,0.56,2,-5.931,0,0.0363,0.138,0.000269,0.29,0.962,106.999,190965,4
120gZpbcyjQZ7KNKJxZXnx,0.585,0.887,10,-3.04,1,0.043,0.00404,0.0,0.323,0.834,124.048,139600,4
6a3e0ES98H65XIXuJ3Af8A,0.655,0.798,7,-5.029,1,0.0349,0.283,0.028,0.112,0.693,140.076,189423,4
5zDo9mZyUdCZ1tVj515SZS,0.687,0.545,0,-4.901,1,0.037,0.26,0.0,0.111,0.361,93.981,166932,4
08KAB8LahxJB28HExOmPnL,0.528,0.422,9,-7.641,1,0.0648,0.531,0.0,0.1,0.321,171.751,145173,4
6QjDPROQEk7oK9tZr0TKJP,0.623,0.849,4,-5.779,0,0.0432,0.0601,6.99e-05,0.273,0.731,150.007,206331,4
2zdl37IauOeAFxgJsEFVMo,0.355,0.84,9,-5.169,1,0.0747,0.00447,1.25e-05,0.065,0.266,187.306,258663,4
4jN6jgeKdFG7oBeXg3qC26,0.594,0.577,4,-6.98,1,0.0637,0.0648,0.0,0.123,0.369,145.059,192794,4
67Bn4Mb7cgdRdmwBW1PYms,0.587,0.718,7,-8.369,1,0.0529,0.132,0.00308,0.134,0.332,82.008,198840,4
05iLS2VOLss6mnHYDV0Lfd,0.801,0.669,7,-5.232,1,0.108,0.0406,0.0,0.119,0.877,126.09,135533,4
5VN19XwyKuWp3lfQFFB4ov,0.662,0.835,6,-4.424,1,0.0294,0.00137,1.09e-06,0.114,0.714,103.996,202956,4
4L7LSrveE3uOM57YxtD2eS,0.485,0.914,9,-4.129,1,0.192,0.502,0.0,0.326,0.318,154.86,156209,4
55OQnFxrtwV4hSBAbeqId7,0.439,0.851,11,-3.735,0,0.0402,1.43e-06,0.138,0.0948,0.196,89.994,149860,4
4oHHeXVDV8lcZNfMYpGP59,0.513,0.506,4,-5.874,1,0.0338,0.285,0.0,0.188,0.292,136.229,227405,4
7i6ICmeDCSHQGZpoc4cdVZ,0.673,0.797,11,-2.97,1,0.0524,0.00236,0.0,0.069,0.769,127.034,197092,4
6sy5XzSPzBB5JuJ9berpu3,0.617,0.848,11,-2.825,0,0.0518,0.0313,1.58e-06,0.347,0.473,114.96,197045,4
04kybb0HCt1uaTBgYkSgwQ,0.846,0.431,5,-6.549,0,0.0351,0.071,0.176,0.0861,0.684,93.038,181893,4
7imJEoNqRJL4n8OQEChzWG,0.484,0.789,11,-5.743,1,0.139,0.403,4.82e-06,0.296,0.363,163.729,160682,4
68iPcJAmCqWPyfs9wPHwVT,0.601,0.845,11,-4.279,0,0.0392,8.76e-05,0.0191,0.113,0.329,136.031,233107,4
4PDJDIdWxNN1AlnbrKkoPf,0.498,0.713,2,-7.738,1,0.0278,0.00393,0.0,0.0675,0.235,93.018,254419,4
0naG5PyrfwJQ0xtuQ1BGCM,0.618,0.651,9,-7.811,1,0.0417,0.00808,0.688,0.646,0.965,169.995,325325,4
2XzQvMj0sczBQmAceS8gyT,0.655,0.635,7,-11.305,0,0.0309,0.113,0.461,0.0906,0.669,144.975,192500,4
6kzP50E3nRuuLjtU5Qp56m,0.675,0.834,9,-5.921,1,0.0579,0.031,0.0,0.334,0.719,114.039,166248,4
4wwSEDQrxce8s9zK8rMTSy,0.44,0.879,6,-7.466,1,0.0565,0.00484,5.44e-06,0.101,0.386,132.955,243000,4
6HOXiIuMfKzEpWsdZ02wZL,0.832,0.529,1,-9.57,0,0.0601,0.31,0.027,0.098,0.352,118.038,203263,4
43x8gg4AnsyCO5pWmWed1J,0.589,0.596,3,-5.914,1,0.0261,0.17,2.27e-06,0.213,0.71,108.49,225018,4
4d043mqKES7NxY0LoxLB5m,0.5,0.775,0,-3.499,1,0.0534,0.0194,0.0,0.0788,0.753,180.119,191983,4
0J4mhjqMTQjtdDDp92lZl5,0.496,0.788,1,-5.002,0,0.0465,0.00327,0.0,0.121,0.451,122.022,166835,4
3nfC5ikuvw3mxDEE10c7EA,0.71,0.489,9,-6.374,0,0.0276,0.514,0.0,0.307,0.509,96.027,162730,4
6xLX58MTspmLTj3YRCe7Bt,0.445,0.665,4,-7.764,0,0.038,0.127,0.0242,0.0943,0.146,169.048,285147,4
4ka1FkKAMde6dQAFFMXKac,0.706,0.544,2,-7.275,1,0.0306,0.0273,0.0,0.087,0.477,115.935,177583,4
72rEOdEzgGc81Gos5dD0Je,0.747,0.848,9,-4.081,1,0.103,0.631,0.0129,0.633,0.703,128.942,187107,4
69K5FXo7lvM6lyiudqJWni,0.282,0.533,1,-8.603,1,0.0339,0.185,0.00582,0.0716,0.0562,172.038,198814,4
2wbY4rxFUCDyvK7mksf5HG,0.77,0.536,2,-7.891,1,0.031,0.442,0.00116,0.135,0.824,114.995,187043,4
1oCg7v6GkRdkEO3BhgKpKD,0.561,0.795,7,-8.482,1,0.056,0.143,0.0,0.0872,0.623,153.054,187280,4
03fMRgKzOeMIa9lZlG8xeB,0.787,0.531,2,-7.119,0,0.0275,0.0684,0.0,0.0709,0.348,101.008,192125,4
3BrWLBC4WYx393yRUOlTih,0.694,0.475,2,-7.035,1,0.0345,0.159,3.9e-06,0.103,0.391,94.987,147829,4
6eApoyaNF3DBw1cZhnBBp6,0.408,0.882,5,-3.685,0,0.0387,0.000117,0.000625,0.0733,0.455,75.06,265108,4
42c4zQXbM14DbksotK3Cq7,0.734,0.641,5,-5.433,0,0.0546,0.254,0.768,0.115,0.756,175.968,201286,4
5Sv2qboXJ3GZUuLMVaZtie,0.572,0.765,9,-5.61,0,0.0326,0.239,0.000406,0.0677,0.731,121.945,200768,4
6y6bUurXB0FfhddEU5Qch0,0.477,0.747,11,-7.188,1,0.0333,0.00437,0.011,0.158,0.578,150.997,184549,4
1erjalqVwLQT2t1ZWcas9P,0.716,0.465,2,-7.818,1,0.236,0.553,1.14e-06,0.771,0.575,165.836,168434,4
77pZL5Oq2PVQIPFkEkusZU,0.727,0.568,5,-5.932,0,0.0463,0.00868,0.0676,0.0969,0.539,100.986,169584,4
